Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Pos1,Pos2
835,Abde Ezzalzouli,MAR,Barcelona,La Liga,21.0,2001.0,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,FW,MF
836,Abde Ezzalzouli,MAR,Betis,La Liga,21.0,2001.0,26,6,865,9.6,1,0,1,1,0,1,1,0,3.0,2.2,0.3,2.5,57.0,25.0,89.0,0.1,0.0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26,FW,
837,Giovanni Fabbian,ITA,Bologna,Serie A,20.0,2003.0,27,11,1057,11.7,5,2,7,5,0,0,4,0,4.2,4.2,1.9,6.0,11.0,17.0,41.0,0.43,0.17,0.6,0.43,0.6,0.35,0.16,0.51,0.35,0.51,MF,FW
838,Łukasz Fabiański,POL,West Ham,Premier League,38.0,1985.0,10,7,721,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
839,Nicolò Fagioli,ITA,Juventus,Serie A,22.0,2001.0,8,4,437,4.9,0,2,2,0,0,0,1,0,0.4,0.4,0.7,1.1,8.0,23.0,15.0,0.0,0.41,0.41,0.0,0.41,0.08,0.15,0.23,0.08,0.23,MF,
840,Romain Faivre,FRA,Bournemouth,Premier League,25.0,1998.0,5,0,41,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,MF,FW
841,Romain Faivre,FRA,Lorient,Ligue 1,25.0,1998.0,17,16,1453,16.1,5,1,6,5,0,0,1,0,2.8,2.8,1.7,4.5,68.0,102.0,78.0,0.31,0.06,0.37,0.31,0.37,0.17,0.1,0.28,0.17,0.28,MF,FW
842,Ilhan Fakili,FRA,Clermont Foot,Ligue 1,17.0,2006.0,3,1,94,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.2,0.17,0.2,MF,FW
843,Radamel Falcao,COL,Rayo Vallecano,La Liga,37.0,1986.0,22,2,407,4.5,1,0,1,0,1,1,4,0,2.7,2.0,0.3,2.2,7.0,7.0,23.0,0.22,0.0,0.22,0.0,0.0,0.6,0.06,0.67,0.43,0.49,FW,DF
844,Wladimiro Falcone,ITA,Lecce,Serie A,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
845,Fali,ESP,Cádiz,La Liga,29.0,1993.0,30,30,2547,28.3,0,0,0,0,0,0,12,0,0.8,0.8,0.1,0.9,16.0,82.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,DF,
846,Davide Faraoni,ITA,Hellas Verona,Serie A,31.0,1991.0,11,7,602,6.7,0,1,1,0,0,0,5,0,0.4,0.4,0.4,0.8,13.0,28.0,31.0,0.0,0.15,0.15,0.0,0.15,0.06,0.05,0.11,0.06,0.11,DF,
847,Davide Faraoni,ITA,Fiorentina,Serie A,31.0,1991.0,8,4,392,4.4,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,7.0,17.0,16.0,0.0,0.23,0.23,0.0,0.23,0.02,0.08,0.11,0.02,0.11,DF,
848,Ansu Fati,ESP,Brighton,Premier League,20.0,2002.0,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16.0,28.0,50.0,0.35,0.0,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,MF,FW
849,Ansu Fati,ESP,Barcelona,La Liga,20.0,2002.0,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,1.34,1.34,1.34,MF,FW
850,Khalil Fayad,FRA,Montpellier,Ligue 1,19.0,2004.0,23,11,1025,11.4,3,0,3,3,0,0,2,0,1.9,1.9,0.5,2.4,18.0,35.0,47.0,0.26,0.0,0.26,0.26,0.26,0.17,0.04,0.21,0.17,0.21,FW,MF
851,Federico Fazio,ARG,Salernitana,Serie A,36.0,1987.0,17,15,1355,15.1,1,0,1,1,0,0,3,1,0.4,0.4,0.1,0.5,2.0,27.0,2.0,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03,DF,
852,Jacopo Fazzini,ITA,Empoli,Serie A,20.0,2003.0,31,14,1232,13.7,1,1,2,1,0,0,6,0,1.2,1.2,2.3,3.5,24.0,47.0,51.0,0.07,0.07,0.15,0.07,0.15,0.09,0.16,0.26,0.09,0.26,MF,
853,Peter Federico,DOM,Valencia,La Liga,21.0,2002.0,15,5,649,7.2,0,0,0,0,0,0,1,0,1.7,1.7,1.0,2.7,19.0,16.0,48.0,0.0,0.0,0.0,0.0,0.0,0.24,0.14,0.38,0.24,0.38,MF,FW
854,Nabil Fekir,FRA,Betis,La Liga,30.0,1993.0,19,10,1049,11.7,1,2,3,1,0,0,1,0,2.2,2.2,2.3,4.6,32.0,67.0,77.0,0.09,0.17,0.26,0.09,0.26,0.19,0.2,0.39,0.19,0.39,MF,FW
855,Felipe,BRA,Nott'ham Forest,Premier League,34.0,1989.0,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,DF,
856,Luiz Felipe,ITA,Betis,La Liga,26.0,1997.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,DF,
857,João Félix,POR,Barcelona,La Liga,23.0,1999.0,30,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69.0,68.0,169.0,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,FW,
858,Ohis Felix Uduokhai,GER,Augsburg,Bundesliga,25.0,1997.0,33,33,2921,32.5,2,0,2,2,0,0,5,1,1.4,1.4,0.8,2.2,25.0,101.0,6.0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.07,0.04,0.07,DF,
859,Kiko Femenía,ESP,Villarreal,La Liga,32.0,1991.0,23,16,1583,17.6,0,0,0,0,0,0,8,1,0.0,0.0,0.6,0.6,46.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,DF,
860,Evan Ferguson,IRL,Brighton,Premier League,18.0,2004.0,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13.0,15.0,62.0,0.4,0.0,0.4,0.4,0.4,0.3,0.04,0.34,0.3,0.34,FW,
861,Lewis Ferguson,SCO,Bologna,Serie A,23.0,1999.0,31,31,2712,30.1,6,3,9,6,0,0,8,0,5.4,5.4,2.3,7.7,57.0,142.0,138.0,0.2,0.1,0.3,0.2,0.3,0.18,0.08,0.26,0.18,0.26,MF,
862,Bruno Fernandes,POR,Manchester Utd,Premier League,28.0,1994.0,35,35,3118,34.6,10,8,18,6,4,5,9,0,10.0,6.1,11.8,17.8,86.0,297.0,182.0,0.29,0.23,0.52,0.17,0.4,0.29,0.34,0.63,0.18,0.51,MF,FW
863,Edimilson Fernandes,SUI,Mainz 05,Bundesliga,27.0,1996.0,21,13,1290,14.3,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.3,9.0,53.0,9.0,0.0,0.14,0.14,0.0,0.14,0.04,0.05,0.09,0.04,0.09,DF,
864,Aitor Fernández,ESP,Osasuna,La Liga,32.0,1991.0,7,6,551,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
865,Álex Fernández,ESP,Cádiz,La Liga,30.0,1992.0,26,14,1285,14.3,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.0,11.0,52.0,26.0,0.0,0.07,0.07,0.0,0.07,0.02,0.05,0.07,0.02,0.07,MF,
866,Carlos Fernández,ESP,Real Sociedad,La Liga,27.0,1996.0,10,5,408,4.5,2,1,3,1,1,1,3,0,1.5,0.7,0.5,1.3,5.0,4.0,13.0,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28,FW,
867,Enzo Fernández,ARG,Chelsea,Premier League,22.0,2001.0,28,26,2209,24.5,3,2,5,2,1,2,7,0,6.2,4.6,3.4,8.0,52.0,210.0,54.0,0.12,0.08,0.2,0.08,0.16,0.25,0.14,0.39,0.19,0.33,MF,
868,Raúl Fernández,ESP,Granada,La Liga,35.0,1988.0,4,4,280,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
869,Valery Fernández,ESP,Girona,La Liga,23.0,1999.0,27,2,506,5.6,2,0,2,2,0,0,1,0,0.7,0.7,0.8,1.5,20.0,12.0,54.0,0.36,0.0,0.36,0.36,0.36,0.12,0.14,0.26,0.12,0.26,MF,FW
870,Fernando,ESP,Almería,La Liga,33.0,1990.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
871,Fernando,BRA,Sevilla,La Liga,36.0,1987.0,8,5,459,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,MF,
872,Ichem Ferrah,FRA,Lille,Ligue 1,17.0,2005.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,
873,Andrea Ferraris,ITA,Monza,Serie A,20.0,2003.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,
874,André Ferreira,POR,Granada,La Liga,27.0,1996.0,15,14,1340,14.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
875,João Ferreira,POR,Udinese,Serie A,22.0,2001.0,35,18,1822,20.2,0,1,1,0,0,0,9,0,0.1,0.1,0.9,1.0,19.0,61.0,45.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.05,0.01,0.05,DF,
876,Jordan Ferri,FRA,Montpellier,Ligue 1,31.0,1992.0,30,23,2031,22.6,1,1,2,1,0,0,6,0,0.6,0.6,1.9,2.5,37.0,173.0,68.0,0.04,0.04,0.09,0.04,0.09,0.03,0.09,0.11,0.03,0.11,MF,
877,Nacho Ferri,ESP,Eint Frankfurt,Bundesliga,18.0,2004.0,8,0,74,0.8,1,0,1,1,0,0,0,0,1.2,1.2,0.0,1.2,0.0,2.0,8.0,1.22,0.0,1.22,1.22,1.22,1.43,0.05,1.48,1.43,1.48,FW,MF
878,Rachad Fettal,MAR,Almería,La Liga,18.0,2005.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.41,0.12,0.53,0.41,0.53,FW,
879,Seydou Fini,ITA,Genoa,Serie A,17.0,2006.0,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,DF,FW
880,Max Finkgräfe,GER,Köln,Bundesliga,19.0,2004.0,24,18,1756,19.5,1,0,1,1,0,0,4,0,1.0,1.0,1.6,2.6,51.0,53.0,59.0,0.05,0.0,0.05,0.05,0.05,0.05,0.08,0.13,0.05,0.13,DF,FW
881,Vincenzo Fiorillo,ITA,Salernitana,Serie A,33.0,1990.0,4,4,360,4.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
882,Kilian Fischer,GER,Wolfsburg,Bundesliga,22.0,2000.0,6,4,291,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,DF,MF
883,John Fleck,SCO,Sheffield Utd,Premier League,31.0,1991.0,4,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44,MF,DF
884,Mark Flekken,NED,Brentford,Premier League,30.0,1993.0,37,37,3285,36.5,0,1,1,0,0,0,3,0,0.0,0.0,0.5,0.5,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,GK,
885,Alessandro Florenzi,ITA,Milan,Serie A,32.0,1991.0,31,19,1732,19.2,1,4,5,1,0,0,5,0,1.7,1.7,3.4,5.1,29.0,106.0,50.0,0.05,0.21,0.26,0.05,0.26,0.09,0.18,0.26,0.09,0.26,DF,
886,Phil Foden,ENG,Manchester City,Premier League,23.0,2000.0,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93.0,168.0,269.0,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,FW,MF
887,Wes Foderingham,ENG,Sheffield Utd,Premier League,32.0,1991.0,30,29,2649,29.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
888,Malick Fofana,BEL,Lyon,Ligue 1,18.0,2005.0,17,4,559,6.2,3,0,3,3,0,0,0,0,1.8,1.8,0.5,2.4,26.0,10.0,60.0,0.48,0.0,0.48,0.48,0.48,0.29,0.09,0.38,0.29,0.38,FW,
889,Youssouf Fofana,FRA,Monaco,Ligue 1,24.0,1999.0,32,31,2697,30.0,4,4,8,4,0,0,3,0,5.0,5.0,3.4,8.4,53.0,249.0,86.0,0.13,0.13,0.27,0.13,0.27,0.17,0.11,0.28,0.17,0.28,MF,
890,Jonas Föhrenbach,GER,Heidenheim,Bundesliga,27.0,1996.0,33,32,2788,31.0,0,0,0,0,0,0,2,0,0.5,0.5,0.8,1.3,44.0,96.0,69.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,DF,
891,Thomas Foket,BEL,Reims,Ligue 1,28.0,1994.0,27,22,1833,20.4,0,1,1,0,0,0,9,1,0.2,0.2,0.9,1.1,24.0,65.0,84.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,DF,
892,Michael Folorunsho,ITA,Hellas Verona,Serie A,25.0,1998.0,34,33,2781,30.9,5,1,6,5,0,0,5,0,4.0,3.9,1.4,5.3,56.0,54.0,110.0,0.16,0.03,0.19,0.16,0.19,0.13,0.04,0.17,0.13,0.17,MF,FW
893,Tiago Fonseca Morais,POR,Lille,Ligue 1,19.0,2003.0,3,0,46,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.7,FW,
894,Pablo Fornals,ESP,West Ham,Premier League,27.0,1996.0,15,4,426,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.13,0.07,0.13,MF,FW
895,Pablo Fornals,ESP,Betis,La Liga,27.0,1996.0,15,14,1148,12.8,3,2,5,3,0,0,2,0,1.8,1.8,1.6,3.4,37.0,89.0,82.0,0.24,0.16,0.39,0.24,0.39,0.14,0.13,0.27,0.14,0.27,FW,MF
896,Emil Forsberg,SWE,RB Leipzig,Bundesliga,31.0,1991.0,14,5,464,5.2,2,1,3,2,0,1,0,0,1.4,0.6,0.9,1.5,8.0,22.0,38.0,0.39,0.19,0.58,0.39,0.58,0.27,0.17,0.44,0.11,0.28,MF,FW
897,Omari Forson,ENG,Manchester Utd,Premier League,19.0,2004.0,4,1,70,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1.0,2.0,2.0,0.0,1.29,1.29,0.0,1.29,0.04,0.23,0.27,0.04,0.27,FW,
898,Philipp Förster,GER,Bochum,Bundesliga,28.0,1995.0,13,3,385,4.3,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.9,7.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.22,0.11,0.22,MF,FW
899,Héctor Fort,ESP,Barcelona,La Liga,16.0,2006.0,7,4,318,3.5,0,2,2,0,0,0,0,0,0.0,0.0,0.8,0.8,3.0,7.0,38.0,0.0,0.57,0.57,0.0,0.57,0.0,0.23,0.23,0.0,0.23,DF,
900,Lyle Foster,RSA,Burnley,Premier League,22.0,2000.0,24,22,1899,21.1,5,3,8,5,0,0,0,1,4.5,4.5,1.9,6.4,55.0,37.0,104.0,0.24,0.14,0.38,0.24,0.38,0.21,0.09,0.3,0.21,0.3,FW,MF
901,Dimitri Foulquier,FRA,Valencia,La Liga,30.0,1993.0,33,19,1842,20.5,0,0,0,0,0,0,3,0,0.6,0.6,1.2,1.8,42.0,72.0,64.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,DF,MF
902,Juan Foyth,ARG,Villarreal,La Liga,25.0,1998.0,12,12,1062,11.8,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,19.0,51.0,28.0,0.08,0.08,0.17,0.08,0.17,0.03,0.08,0.11,0.03,0.11,DF,
903,Matheus França,BRA,Crystal Palace,Premier League,19.0,2004.0,10,1,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12.0,8.0,12.0,0.0,0.39,0.39,0.0,0.39,0.14,0.34,0.48,0.14,0.48,MF,FW
904,Bartol Franjić,CRO,Darmstadt 98,Bundesliga,23.0,2000.0,20,14,1229,13.7,0,1,1,0,0,0,5,0,0.3,0.3,0.2,0.5,13.0,50.0,14.0,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.04,0.02,0.04,MF,
905,Przemysław Frankowski,POL,Lens,Ligue 1,28.0,1995.0,30,24,2192,24.4,3,2,5,2,1,2,4,0,3.7,2.1,3.8,5.9,56.0,112.0,210.0,0.12,0.08,0.21,0.08,0.16,0.15,0.16,0.31,0.09,0.24,DF,
906,Nathan Fraser,IRL,Wolves,Premier League,18.0,2005.0,7,1,186,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.19,0.16,0.19,FW,
907,Davide Frattesi,ITA,Inter,Serie A,23.0,1999.0,32,6,955,10.6,6,3,9,6,0,0,1,0,7.1,7.1,1.9,9.0,27.0,37.0,40.0,0.57,0.28,0.85,0.57,0.85,0.67,0.18,0.85,0.67,0.85,MF,
908,Jean Frederic N'Guessan,CIV,Metz,Ligue 1,20.0,2003.0,6,1,110,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,MF,FW
909,Morten Frendrup,DEN,Genoa,Serie A,22.0,2001.0,37,36,3145,34.9,2,5,7,2,0,0,6,0,1.7,1.7,1.6,3.3,36.0,105.0,69.0,0.06,0.14,0.2,0.06,0.2,0.05,0.05,0.09,0.05,0.09,MF,
910,Remo Freuler,SUI,Bologna,Serie A,31.0,1992.0,32,30,2624,29.2,1,1,2,1,0,0,9,0,1.2,1.2,1.1,2.3,37.0,165.0,48.0,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.08,0.04,0.08,MF,
911,Marco Friedl,AUT,Werder Bremen,Bundesliga,25.0,1998.0,25,25,2197,24.4,1,0,1,1,0,0,6,0,0.2,0.2,0.1,0.3,4.0,59.0,2.0,0.04,0.0,0.04,0.04,0.04,0.01,0.0,0.01,0.01,0.01,DF,
912,Marvin Friedrich,GER,Gladbach,Bundesliga,27.0,1995.0,24,17,1566,17.4,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.7,2.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,DF,
913,Jeremie Frimpong,NED,Leverkusen,Bundesliga,22.0,2000.0,31,27,2251,25.0,9,7,16,9,0,0,6,0,8.2,8.2,5.9,14.0,153.0,49.0,348.0,0.36,0.28,0.64,0.36,0.64,0.33,0.23,0.56,0.33,0.56,DF,
914,Jorge de Frutos,ESP,Rayo Vallecano,La Liga,26.0,1997.0,36,14,1549,17.2,2,0,2,2,0,0,1,0,2.6,2.6,1.4,4.0,42.0,40.0,144.0,0.12,0.0,0.12,0.12,0.12,0.15,0.08,0.23,0.15,0.23,FW,MF
915,Chris Führich,GER,Stuttgart,Bundesliga,25.0,1998.0,34,33,2567,28.5,8,7,15,8,0,1,2,0,6.6,5.8,8.0,13.8,153.0,145.0,259.0,0.28,0.25,0.53,0.28,0.53,0.23,0.28,0.51,0.2,0.49,FW,MF
916,Shiō Fukuda,JPN,Gladbach,Bundesliga,19.0,2004.0,5,0,36,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.07,0.47,0.4,0.47,FW,MF
917,Angelo Fulgini,FRA,Lens,Ligue 1,26.0,1996.0,29,16,1376,15.3,1,2,3,1,0,0,1,0,3.2,3.2,3.2,6.4,35.0,74.0,117.0,0.07,0.13,0.2,0.07,0.2,0.21,0.21,0.42,0.21,0.42,MF,
918,Niclas Füllkrug,GER,Werder Bremen,Bundesliga,30.0,1993.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,2.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.36,0.23,0.36,FW,
919,Niclas Füllkrug,GER,Dortmund,Bundesliga,30.0,1993.0,29,27,2212,24.6,12,8,20,9,3,3,1,0,12.4,10.0,3.1,13.2,17.0,49.0,119.0,0.49,0.33,0.81,0.37,0.69,0.5,0.13,0.63,0.41,0.54,FW,
920,Gerardo Fusco,ITA,Salernitana,Serie A,18.0,2005.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,FW,
921,Daniel Fuzato,BRA,Getafe,La Liga,26.0,1997.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
922,Matteo Gabbia,ITA,Milan,Serie A,23.0,1999.0,18,14,1275,14.2,2,1,3,2,0,0,5,0,1.6,1.6,0.3,1.9,11.0,42.0,2.0,0.14,0.07,0.21,0.14,0.21,0.11,0.02,0.14,0.11,0.14,DF,
923,Matteo Gabbia,ITA,Villarreal,La Liga,23.0,1999.0,7,6,477,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,DF,
924,Gianluca Gaetano,ITA,Cagliari,Serie A,23.0,2000.0,11,10,745,8.3,4,1,5,3,1,1,1,1,1.3,0.5,1.3,1.8,17.0,41.0,42.0,0.48,0.12,0.6,0.36,0.48,0.15,0.16,0.31,0.06,0.22,FW,MF
925,Gianluca Gaetano,ITA,Napoli,Serie A,23.0,2000.0,9,1,161,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,6.0,6.0,5.0,0.56,0.0,0.56,0.56,0.56,0.35,0.27,0.62,0.35,0.62,MF,
926,Roberto Gagliardini,ITA,Monza,Serie A,29.0,1994.0,33,29,2360,26.2,1,2,3,1,0,0,5,0,2.9,2.9,1.7,4.6,38.0,120.0,36.0,0.04,0.08,0.11,0.04,0.11,0.11,0.06,0.18,0.11,0.18,MF,DF
927,Cody Gakpo,NED,Liverpool,Premier League,24.0,1999.0,35,17,1649,18.3,8,5,13,8,0,0,1,0,9.0,9.0,2.9,11.8,43.0,83.0,130.0,0.44,0.27,0.71,0.44,0.71,0.49,0.16,0.64,0.49,0.64,FW,MF
928,Javi Galán,ESP,Atlético Madrid,La Liga,28.0,1994.0,5,0,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,DF,
929,Javi Galán,ESP,Real Sociedad,La Liga,28.0,1994.0,14,13,1075,11.9,0,1,1,0,0,0,3,0,0.1,0.1,0.7,0.8,46.0,45.0,70.0,0.0,0.08,0.08,0.0,0.08,0.01,0.06,0.07,0.01,0.07,DF,
930,Iñigo Ruiz de Galarreta,ESP,Athletic Club,La Liga,29.0,1993.0,29,25,2091,23.2,1,1,2,1,0,0,7,0,0.3,0.3,2.3,2.6,26.0,147.0,36.0,0.04,0.04,0.09,0.04,0.09,0.01,0.1,0.11,0.01,0.11,MF,
931,Pablo Galdames Millán,CHI,Genoa,Serie A,26.0,1996.0,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,MF,DF
932,Conor Gallagher,ENG,Chelsea,Premier League,23.0,2000.0,37,37,3128,34.8,5,7,12,5,0,0,9,1,4.2,4.2,5.0,9.2,62.0,172.0,122.0,0.14,0.2,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27,MF,
933,Antonino Gallo,ITA,Lecce,Serie A,23.0,2000.0,35,30,2490,27.7,0,3,3,0,0,0,2,0,0.5,0.5,4.5,5.0,69.0,125.0,101.0,0.0,0.11,0.11,0.0,0.11,0.02,0.16,0.18,0.02,0.18,DF,
934,Cristian Gamboa,CRC,Bochum,Bundesliga,33.0,1989.0,22,12,1187,13.2,0,1,1,0,0,0,6,0,0.1,0.1,0.5,0.6,12.0,33.0,16.0,0.0,0.08,0.08,0.0,0.08,0.01,0.04,0.04,0.01,0.04,DF,
935,Kévin Gameiro,FRA,Strasbourg,Ligue 1,36.0,1987.0,27,15,1346,15.0,4,2,6,2,2,2,0,0,3.4,1.9,2.7,4.6,26.0,44.0,81.0,0.27,0.13,0.4,0.13,0.27,0.23,0.18,0.41,0.12,0.31,FW,MF
936,Idrissa Gana Gueye,SEN,Everton,Premier League,33.0,1989.0,25,24,1884,20.9,4,0,4,4,0,0,8,0,1.3,1.3,1.1,2.4,29.0,83.0,41.0,0.19,0.0,0.19,0.19,0.19,0.06,0.05,0.12,0.06,0.12,MF,
