Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Pos1,Pos2
131,Adu Ares,ESP,Athletic Club,La Liga,21.0,2001.0,12,2,265,2.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,13.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,FW,
132,Jesús Areso,ESP,Osasuna,La Liga,24.0,1999.0,37,29,2660,29.6,1,6,7,1,0,0,3,0,0.2,0.2,3.6,3.8,78.0,106.0,180.0,0.03,0.2,0.24,0.03,0.24,0.01,0.12,0.13,0.01,0.13,DF,
133,Simone Aresti,ITA,Cagliari,Serie A,37.0,1986.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
134,Matias Arezo,URU,Granada,La Liga,20.0,2002.0,14,3,369,4.1,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.2,6.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.3,0.28,0.3,FW,
135,Iñigo Arguibide,ESP,Osasuna,La Liga,18.0,2005.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,
136,Yoël Armougom,FRA,Clermont Foot,Ligue 1,25.0,1998.0,5,2,234,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,DF,MF
137,José Arnaiz,ESP,Osasuna,La Liga,28.0,1995.0,26,9,929,10.3,2,1,3,2,0,0,3,0,1.7,1.7,1.8,3.5,23.0,11.0,85.0,0.19,0.1,0.29,0.19,0.29,0.17,0.17,0.34,0.17,0.34,FW,MF
138,Hákon Arnar Haraldsson,ISL,Lille,Ligue 1,20.0,2003.0,26,15,1284,14.3,2,0,2,2,0,0,5,0,0.8,0.8,1.5,2.2,25.0,48.0,90.0,0.14,0.0,0.14,0.14,0.14,0.05,0.1,0.16,0.05,0.16,FW,MF
139,Marko Arnautović,AUT,Inter,Serie A,34.0,1989.0,27,5,801,8.9,5,3,8,5,0,0,0,0,5.0,5.0,2.6,7.6,12.0,20.0,77.0,0.56,0.34,0.9,0.56,0.9,0.56,0.29,0.85,0.56,0.85,FW,
140,Maximilian Arnold,GER,Wolfsburg,Bundesliga,29.0,1994.0,30,27,2506,27.8,2,1,3,2,0,0,9,0,1.0,1.0,3.9,4.9,20.0,143.0,19.0,0.07,0.04,0.11,0.07,0.11,0.04,0.14,0.18,0.04,0.18,MF,
141,Mohamed El Arouch,FRA,Lyon,Ligue 1,19.0,2004.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,
142,Sergio Arribas,ESP,Almería,La Liga,21.0,2001.0,34,22,2047,22.7,9,4,13,9,0,0,1,0,8.6,8.6,3.7,12.2,56.0,81.0,94.0,0.4,0.18,0.57,0.4,0.57,0.38,0.16,0.54,0.38,0.54,MF,FW
143,Kepa Arrizabalaga,ESP,Real Madrid,La Liga,28.0,1994.0,14,13,1198,13.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
144,Arthur,BRA,Leverkusen,Bundesliga,20.0,2003.0,4,2,184,2.0,0,2,2,0,0,0,0,0,0.1,0.1,0.3,0.4,8.0,7.0,28.0,0.0,0.98,0.98,0.0,0.98,0.04,0.15,0.19,0.04,0.19,DF,
145,Takuma Asano,JPN,Bochum,Bundesliga,28.0,1994.0,29,26,1986,22.1,6,1,7,6,0,0,2,0,7.9,7.9,1.3,9.2,56.0,32.0,167.0,0.27,0.05,0.32,0.27,0.32,0.36,0.06,0.42,0.36,0.42,FW,MF
146,Marco Asensio,ESP,Paris S-G,Ligue 1,27.0,1996.0,19,13,1113,12.4,4,5,9,4,0,0,0,0,3.2,3.2,5.8,9.0,36.0,71.0,92.0,0.32,0.4,0.73,0.32,0.73,0.26,0.47,0.73,0.26,0.73,MF,FW
147,Kristjan Asllani,ALB,Inter,Serie A,21.0,2002.0,23,6,787,8.7,1,2,3,1,0,0,1,0,0.6,0.6,1.1,1.6,5.0,32.0,8.0,0.11,0.23,0.34,0.11,0.34,0.07,0.12,0.19,0.06,0.18,MF,
148,Joel Asoro,SWE,Metz,Ligue 1,24.0,1999.0,20,10,848,9.4,2,1,3,2,0,0,2,0,0.6,0.6,0.3,0.9,14.0,16.0,43.0,0.21,0.11,0.32,0.21,0.32,0.06,0.03,0.09,0.06,0.09,FW,MF
149,Jonathan Asp Jensen,DEN,Bayern Munich,Bundesliga,17.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,
150,Iago Aspas,ESP,Celta Vigo,La Liga,35.0,1987.0,35,31,2707,30.1,9,10,19,6,3,5,6,1,11.5,7.5,10.1,17.6,84.0,161.0,202.0,0.3,0.33,0.63,0.2,0.53,0.38,0.34,0.72,0.25,0.59,FW,
151,Lorenz Assignon,TOG,Burnley,Premier League,23.0,2000.0,15,15,1234,13.7,1,2,3,1,0,0,5,1,0.4,0.4,2.6,3.0,38.0,34.0,57.0,0.07,0.15,0.22,0.07,0.22,0.03,0.19,0.22,0.03,0.22,DF,
152,Lorenz Assignon,TOG,Rennes,Ligue 1,23.0,2000.0,14,12,1011,11.2,1,1,2,1,0,0,4,0,0.4,0.4,1.8,2.2,28.0,51.0,67.0,0.09,0.09,0.18,0.09,0.18,0.04,0.16,0.2,0.04,0.2,DF,
153,Youcef Atal,ALG,Nice,Ligue 1,27.0,1996.0,6,5,359,4.0,1,0,1,1,0,0,2,0,0.1,0.1,0.8,0.9,9.0,15.0,5.0,0.25,0.0,0.25,0.25,0.25,0.03,0.2,0.24,0.03,0.24,DF,
154,Valentin Atangana Edoa,FRA,Reims,Ligue 1,17.0,2005.0,15,7,555,6.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,10.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,MF,
155,Arthur Atta,FRA,Metz,Ligue 1,20.0,2003.0,21,10,924,10.3,1,2,3,1,0,0,0,0,0.6,0.6,1.3,1.9,16.0,48.0,22.0,0.1,0.19,0.29,0.1,0.29,0.06,0.13,0.18,0.06,0.18,MF,FW
156,Noah Atubolu,GER,Freiburg,Bundesliga,21.0,2002.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
157,Pierre-Emerick Aubameyang,GAB,Marseille,Ligue 1,34.0,1989.0,34,30,2622,29.1,17,8,25,13,4,4,4,0,20.5,17.3,5.6,23.0,68.0,58.0,235.0,0.58,0.27,0.86,0.45,0.72,0.7,0.19,0.9,0.59,0.79,FW,
158,Emil Audero,ITA,Inter,Serie A,26.0,1997.0,4,4,337,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
159,Tommaso Augello,ITA,Cagliari,Serie A,28.0,1994.0,32,28,2418,26.9,1,1,2,1,0,0,5,0,0.5,0.5,2.0,2.5,62.0,96.0,99.0,0.04,0.04,0.07,0.04,0.07,0.02,0.07,0.09,0.02,0.09,DF,
160,Carlos Augusto,BRA,Inter,Serie A,24.0,1999.0,37,14,1725,19.2,0,3,3,0,0,0,1,0,1.0,1.0,2.8,3.9,42.0,54.0,88.0,0.0,0.16,0.16,0.0,0.16,0.05,0.15,0.2,0.05,0.2,DF,
